,značka,středisko,položka,částka,podáno,proplaceno,redmine,popis
0,FO 1/2017,strana,212500900,-14069.00,2017-01-04,2017-01-05,https://redmine.pirati.cz/issues/4838,Proplacení housingu 2017
1,FO 2/2017,strana,212500900,-847.00,2017-01-04,2017-01-05,https://redmine.pirati.cz/issues/4841,Internet Pice 1/2017
2,FO 3/2017,strana,212500900,-10000.00,2017-01-04,2017-01-05,https://redmine.pirati.cz/issues/4845,Odměny psavkyni Věře Marušiakové listopad 2016
3,FO 4/2017,strana,212500900,-1161.60,2017-01-05,2017-01-18,https://redmine.pirati.cz/issues/5041,Hosting tarif SAVANA500
4,FO 5/2017,strana,212500900,-1654.00,2017-01-17,2017-01-18,https://redmine.pirati.cz/issues/5032,Vaření Piratecon
5,FO 6/2017,strana,212500900,-0.00,2017-01-11,2017-01-23,,Záloha odměny vedoucího PO - leden
6,FO 7/2017,strana,212500900,-8100.00,2017-01-12,2017-01-23,,Zaplacení pirátského centra Chrudim
7,FO 8/2017,strana,212500900,-999.50,2017-01-12,2017-02-07,https://redmine.pirati.cz/issues/5271,Proplacení cestovného
8,FO 9/2017,strana,212500900,-8000.00,2017-01-12,2017-01-16,https://redmine.pirati.cz/issues/4935,nájemné a služby OPICE
9,FO 10/2017,strana,231162050,-4200.00,2017-01-12,2017-03-25,https://redmine.pirati.cz/issues/4936,internet OPICE 2017
10,FO 11/2017,strana,212500900,-367.50,2017-01-20,2017-02-07,https://redmine.pirati.cz/issues/5273,Cestovné - Novák
11,FO 12/2017,strana,212500900,-393.00,2017-01-27,2017-02-07,https://redmine.pirati.cz/issues/5274,Cestovné
12,FO 13/2017,strana,231162040,-30000.00,2017-01-31,,https://redmine.pirati.cz/issues/5178,Pirátské sousedství
13,FO 14/2017,strana,212500900,-8000.00,2017-02-01,2017-02-02,https://redmine.pirati.cz/issues/5195,Krajský manažer - odměna 01/2017
14,FO 15/2017,strana,212500900,-1472.00,2017-02-02,2017-02-07,https://redmine.pirati.cz/issues/5272,Cestovné
15,FO 16/2017,strana,212500900,-847.00,2017-02-06,2017-02-09,https://redmine.pirati.cz/issues/5253,Ineternet v PiCe
16,FO 17/2017,strana,212500900,-675.00,2017-02-07,2017-02-09,https://redmine.pirati.cz/issues/5283,cestovné
17,FO 18/2017,strana,212500900,-50000.00,2017-02-08,2017-02-08,https://redmine.pirati.cz/issues/5297,Nájem sídla strany 1-4/2017
18,FO 19/2017,strana,212400001,-1118.00,2017-02-09,2017-02-24,https://redmine.pirati.cz/issues/5317,Občerstvení
19,FO 20/2017,strana,212500900,-4235.00,2017-02-10,2017-02-10,https://redmine.pirati.cz/issues/5319,nový server  DDR3
20,FO 21/2017,strana,212500402,-6636.00,2017-02-10,2017-02-14,,"Záloha Energie PiCe, 2017 elektřina"
21,FO 22/2017,strana,212500402,-8824.00,2017-02-10,2017-02-14,,"Záloha Energie PiCe, 2017 plyn"
22,FO 23/2017,strana,212400001,-348.00,2017-02-11,2017-02-23,https://redmine.pirati.cz/issues/5352,Cestovné
23,FO 24/2017,,xxx,-10.00,2017-02-14,,,Fotografické práce
24,FO 25/2017,strana,212500410,-1257.00,2017-02-14,,https://redmine.pirati.cz/issues/5376,Proplacení výdajů spojených s žádáním o informace
25,FO 26/2017,strana,212500410,-31855.00,2017-02-17,2017-02-23,https://redmine.pirati.cz/issues/5403,Právní služby
26,FO 27/2017,strana,212900300,-13482.00,2017-02-17,2017-02-22,https://redmine.pirati.cz/issues/5404,Odměna KoDo-KvK-01/2017
27,FO 28/2017,strana,212600001,-2334.00,2017-02-17,2017-02-19,https://redmine.pirati.cz/issues/5408,Krajský manažer - mim. odměna 01/2017
28,FO 29/2017,strana,213000001,-1250.00,2017-02-18,2017-02-23,,Grafický návrh podstránky připoj se
29,FO 30/2017,strana,213000001,-1000.00,2017-02-18,2017-02-23,,Nakódování podstránky „o nás“
30,FO 31/2017,strana,212900001,-196.80,2017-02-19,2017-02-23,https://redmine.pirati.cz/issues/5437,Občerstvení I
31,FO 32/2017,strana,212800001,-619.00,2017-02-19,2017-03-10,https://redmine.pirati.cz/issues/5012,Pořízení baterie pro videotým
32,FO 33/2017,strana,212900001,-5458.32,2017-02-20,2017-02-18,https://redmine.pirati.cz/issues/5448,Proplácení telefonů - 12/2016
33,FO 34/2017,strana,212900001,-8221.95,2017-02-20,2017-02-23,https://redmine.pirati.cz/issues/5449,Proplácení telefonů - 1/2017
34,FO 35/2017,strana,212900001,-675.00,2017-02-20,2017-02-27,https://redmine.pirati.cz/issues/5456,Proplacení cestovních nákladů - WS KoDo Praha 19-02-2017
35,FO 36/2017,strana,212700001,-9075.00,2017-03-25,2017-03-25,https://redmine.pirati.cz/issues/5500,"Účetnictví 10,11,12/2016"
36,FO 37/2017,strana,212900300,-9550.10,2017-02-21,2017-02-23,https://redmine.pirati.cz/issues/5468,Odměna KoDo-OlK-01/2017
